Metabolite,Median FoldChange_clinical,p_clinical,Median FoldChange_risk,p_risk,direction
Glucose,0.828704119,1.07098E-10,0.809700184,1.85433E-84,down
GL,0.867519427,3.63641E-10,0.853973754,1.77918E-91,down
XS_VLDL_CE,1.210600699,1.5117E-07,1.188079788,2.63399E-41,up
XS_VLDL_TG_pct,0.90061643,2.44959E-07,0.925156692,4.06929E-32,down
XS_VLDL_CE_pct,1.069028691,5.77058E-07,1.063309688,2.73176E-33,up
XS_VLDL_C_pct,1.050864678,5.92288E-07,1.046654611,2.15083E-33,up
IDL_FC,1.171195992,5.96786E-07,1.175013075,7.35387E-44,up
XS_VLDL_C,1.187810676,6.06016E-07,1.159189635,9.27844E-38,up
IDL_PL,1.142287411,1.29304E-06,1.131545921,5.95785E-41,up
IDL_C,1.153689266,1.50948E-06,1.176569146,5.0059E-44,up
IDL_L,1.135234806,1.85149E-06,1.152765229,7.81513E-42,up
IDL_P,1.133381552,2.49119E-06,1.145842999,3.70677E-39,up
IDL_CE,1.181572843,2.51757E-06,1.166414576,2.36545E-43,up
S_VLDL_C_pct,1.065890896,2.96677E-06,1.050862825,4.95133E-28,up
S_VLDL_TG_pct,0.927368445,4.33004E-06,0.948106098,4.15582E-28,down
S_VLDL_CE_pct,1.058391104,4.34254E-06,1.049877312,9.28408E-25,up
M_VLDL_PL_pct,1.057726291,4.42012E-06,1.040496975,4.58895E-32,up
M_VLDL_FC_pct,1.079814971,7.71604E-06,1.062241018,3.2576E-30,up
M_VLDL_CE,1.368912786,8.83356E-06,1.335966548,2.36309E-41,up
M_VLDL_TG_pct,0.917434574,9.63588E-06,0.939228813,3.46113E-28,down
M_VLDL_C_pct,1.131870548,1.45637E-05,1.123309088,3.48139E-26,up
S_LDL_C_pct,1.021182615,1.63436E-05,1.013361821,9.61963E-28,up
S_VLDL_FC_pct,1.079741914,1.64999E-05,1.068660861,1.88968E-28,up
L_LDL_FC,1.128994137,2.20768E-05,1.152094395,2.00521E-39,up
M_VLDL_CE_pct,1.229149349,2.21827E-05,1.185285445,1.48263E-24,up
S_VLDL_PL_pct,1.041352862,2.73067E-05,1.030782127,1.75173E-26,up
Remnant_C,1.166363185,2.74416E-05,1.158239297,5.05205E-36,up
XS_VLDL_FC,1.127515926,3.50082E-05,1.122036942,2.46316E-27,up
XL_VLDL_TG_pct,0.955798197,3.66629E-05,0.969959649,5.01162E-23,down
Total_C,1.100083313,4.17808E-05,1.114998134,2.28981E-36,up
Total_CE,1.09433544,4.22014E-05,1.10886307,2.22587E-36,up
L_LDL_PL,1.134933483,4.27684E-05,1.128945698,1.18722E-36,up
IDL_TG_pct,0.91222075,4.51929E-05,0.906595833,3.67427E-27,down
