Protein,MeanDiff_clinical,p_clinical,MeanDiff_risk,p_risk,direction
XPNPEP2,1.056401307,2.50045E-05,0.198782735,0.044373225,up
AMIGO2,-0.117811168,0.000170143,-0.057501668,0.00634112,down
NCAN,0.300984185,0.000534657,0.114171858,0.004214609,up
EPO,-0.536913918,0.000700942,-0.216335626,0.003982542,down
PLA2G7,0.322048145,0.000783843,0.163337694,1.25489E-06,up
ICAM1,-0.185336421,0.001101708,-0.109627129,0.000150059,down
CD22,-0.293885668,0.001768101,-0.170155053,0.00014553,down
SH2D1A,-0.216592995,0.002692185,-0.09859281,0.025416516,down
PLXNB2,-0.162828447,0.003036093,-0.144084826,2.43413E-10,down
ATF2,-0.258091081,0.003304936,-0.155345258,0.001014681,down
CDH1,-0.278525163,0.005308097,-0.155739739,6.58518E-06,down
NRP1,-0.188591818,0.006315644,-0.049794242,0.040635044,down
DEFB4A,-1.097939997,0.006844675,-0.253656561,0.048489737,down
CRTAC1,0.242979954,0.008949906,0.112829257,5.24479E-05,up
ADAMTS8,0.276659185,0.009421957,0.112077454,0.006284853,up
SIGLEC10,-0.289767763,0.010677791,-0.098315063,0.001702808,down
SEMA7A,-0.142909339,0.010734385,-0.089784613,0.001115597,down
ITGAV,0.135092017,0.010868134,0.054973901,0.001174145,up
ROBO1,-0.163632015,0.012020748,-0.129888354,7.44628E-07,down
LGALS4,-0.283988569,0.013427971,-0.144054381,0.00617971,down
FCER2,-0.252246217,0.01507154,-0.114784485,0.023396674,down
KITLG,0.231666587,0.016839297,0.095471734,0.012813515,up
LIFR,-0.132458459,0.016950332,-0.079680571,0.000234211,down
LTA,-0.180789842,0.016978609,-0.128738121,0.000170359,down
IL18R1,-0.287729547,0.017111139,-0.176568807,1.69003E-08,down
FCRL1,-0.271280475,0.017267971,-0.174953803,7.50235E-05,down
DKK4,-0.277565857,0.017515376,-0.18076343,1.39814E-06,down
NTRK3,0.148296001,0.020317447,0.049163163,0.022598387,up
PLTP,0.190176497,0.023218318,0.116954647,0.000919188,up
MOG,0.251713571,0.02385101,0.123548148,0.000394881,up
FGF23,-0.331139001,0.026339786,-0.129521027,0.01938069,down
TCL1A,-0.631827352,0.027429503,-0.295770251,0.001864261,down
ADA2,-0.242615729,0.031389269,-0.110865771,0.010975204,down
DKK3,0.156727623,0.031487225,0.074714107,0.004966245,up
TNFRSF11A,-0.172665076,0.031612968,-0.083673605,0.024663381,down
THBS2,-0.293619283,0.032898387,-0.15825516,0.000164675,down
RGMB,0.146135919,0.040452548,0.057333895,0.033024418,up
GPA33,1.095518357,0.042077236,0.605971586,3.11781E-06,up
TNFRSF13B,-0.130239864,0.044764847,-0.094804327,0.003693197,down
